"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18590895,"2018-05-25 13:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","6200 DISTRICT ST","MAYWOOD",,"918-07863-0284","0284","07863","CA0190002","EAST LOS ANGELES","N"
18593039,"2018-05-25 14:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2600 FLOWER ST","WALNUT PARK",,"918-07800-2178","2178","07800","CA01900V3","CENTURY","N"
18590767,"2018-05-25 15:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","17800 CENTER COURT DR","CERRITOS",,"918-02352-2317","2317","02352","CA01900R7","CERRITOS","N"
18592763,"2018-05-25 18:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4700 56TH ST","MAYWOOD",,"918-07974-0251","0251","07974","CA0190002","EAST LOS ANGELES","N"
18497588,"2018-05-25 19:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","226TH ST AND NORWALK BLVD","HAWAIIAN GARDENS",,"918-04272-1328","1328","04272","CA0190013","LAKEWOOD","N"
18590782,"2018-05-25 19:45:30","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","800 E COMPTON BLVD","COMPTON",,"918-07316-2872","2872","07316","CA0190042","COMPTON","N"
18591140,"2018-05-25 21:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","8000 ATLANTIC AVE","CUDAHY","90201","918-07881-0263","0263","07881","CA0190002","EAST LOS ANGELES","N"
18591114,"2018-05-25 22:15:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","ATLANTIC AVE AND IMPERIAL HWY","LYNWOOD","90262","918-07697-2115","2115","07697","CA01900V3","CENTURY","N"
18591129,"2018-05-25 22:30:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","600 W POPLAR ST","COMPTON",,"918-07335-2814","2814","07335","CA0190042","COMPTON","N"
18591295,"2018-05-25 23:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","200 1/2 N EASTMAN AVE","LOS ANGELES",,"918-07888-0276","0276","07888","CA0190002","EAST LOS ANGELES","N"
18592426,"2018-05-25 23:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","700 E PACIFIC ST","CARSON","90745","918-05511-1624","1624","05511","CA0190016","CARSON","N"
18591286,"2018-05-26 00:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","18200 RENAULT ST","EAST VALINDA",,"918-06963-1443","1443","06963","CA0190014","INDUSTRY","N"
18594447,"2018-05-26 03:24:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","13800 ALONDRA BLVD","CERRITOS",,"918-02403-2319","2319","02403","CA01900R7","CERRITOS","N"
18594465,"2018-05-26 03:24:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","13800 ALONDRA BLVD","CERRITOS",,"918-02407-2319","2319","02407","CA01900R7","CERRITOS","N"
18594449,"2018-05-26 03:24:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","13800 ALONDRA BLVD","CERRITOS",,"918-02405-2319","2319","02405","CA01900R7","CERRITOS","N"
18594448,"2018-05-26 03:24:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","13800 ALONDRA BLVD","CERRITOS",,"918-02404-2319","2319","02404","CA01900R7","CERRITOS","N"
18594450,"2018-05-26 03:24:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","13800 ALONDRA BLVD","CERRITOS",,"918-02406-2319","2319","02406","CA01900R7","CERRITOS","N"
18606174,"2018-05-26 03:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","1900 HUNTINGTON DR","DUARTE","91010","918-07146-0542","0542","07146","CA0190005","TEMPLE","N"
18584833,"2018-05-26 03:54:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","7400 ATLANTIC AVE","CUDAHY",,"918-07586-0285","0285","07586","CA0190002","EAST LOS ANGELES","N"
18591380,"2018-05-26 04:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2300 LEOTA AVE","HUNTINGTON PARK","90255","918-07709-2173","2173","07709","CA01900V3","CENTURY","N"
